trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.005, 'e': 0.6371511441985802}",35,9,-45.94387313035168,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 0}",1
178,False,"{'a': 0.005, 'e': 0.6332895014884152}",20,0,-56.13674796381427,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",1
179,False,"{'a': 0.005, 'e': 0.6294120265736969}",20,0,-30.900166853678158,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
180,False,"{'a': 0.005, 'e': 0.6255188163910961}",20,0,-42.99458722780924,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
181,False,"{'a': 0.005, 'e': 0.6216099682706645}",30,18,-17.535336411256083,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
182,False,"{'a': 0.005, 'e': 0.6176855799334017}",25,0,-69.42349863050673,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",1
183,False,"{'a': 0.005, 'e': 0.6137457494888116}",20,5,-71.42133647141131,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
184,False,"{'a': 0.005, 'e': 0.6097905754324502}",20,0,-4.17909491107963,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.005, 'e': 0.6058201566434629}",25,0,-195.3065445563338,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
186,False,"{'a': 0.005, 'e': 0.6018345923821126}",20,0,-57.500092665327884,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
187,False,"{'a': 0.005, 'e': 0.5978339822872982}",30,7,-110.00703424457359,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",1
188,False,"{'a': 0.005, 'e': 0.5938184263740639}",20,10,-19.03148692903504,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
189,False,"{'a': 0.005, 'e': 0.5897880250310983}",25,0,-35.25049810520203,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
