trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-172.59912606741062,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-111.11350203264422,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,12,-34.529845276031786,"{0: 9, 1: 2, 2: 0, 3: 2, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-52.94787466199453,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-28.229850771773663,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-54.86947315574016,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,12,-37.74924031891104,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,12,-45.17250477746952,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.8364626499151869}",35,0,-99.02651306981222,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-48.102552955935096,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,3,-28.283033227340624,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-123.71054678836475,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,7,-19.015528194420483,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-129.75876254873083,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-17.530248085582837,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-87.82486021341968,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-80.46075349740781,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,10,-79.71977877331132,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-109.45581563403069,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
